Country,Company,Business register name,Business number,VAT number name,VAT number
Netherlands,De Bijenkorf,KvK,33116577,BTW,NL003177397B01
Netherlands,Zalando.nl,KvK,HRB 158855 B,BTW,
Netherlands,Sliponline,KvK,KVK,BTW,NL23RABO012842
Netherlands,Sliponline,KvK,17044923,BTW,NL23RABO012842
Netherlands,Naron,KvK,20081747,BTW,NL804811179B01
Netherlands,Douglas.nl,KvK,10005918,BTW,NL 002501
Netherlands,Attitude Holland,KvK,17113085,BTW,
Netherlands,bol.com,KvK,,BTW,
Netherlands,Timarco.nl,KvK,,BTW,
Netherlands,beslist.nl,KvK,09145924,BTW,NL8140 27
Netherlands,Nelly.com,KvK,556653,BTW,
Netherlands,gerstaecker.nl,KvK,,BTW,
Netherlands,Been+Body,KvK,65647181,BTW,NL165847369 B01
Netherlands,Oroblu Webshop,KvK,16039144,BTW,NL803192216B01
Netherlands,Jambelles.nl,KvK,51248867,BTW,NL823173203B02
Netherlands,Beenmode.nl,KvK,172 222 57,BTW,NL42RABO0161024246
Netherlands,Ondermodeshoppen.nl,KvK,16061436,BTW,NL814898725B01
Netherlands,Chilly Hilversum,KvK,32130863,BTW,NL818986773B01
Netherlands,Sloggies.nl,KvK,52471217,BTW,NL850460591B01
Netherlands,V&D,KvK,67282970,BTW,NL856001
Netherlands,V&D,KvK,67282970,BTW,NL852657092B01
Netherlands,V&D,KvK,HRB 98273,BTW,NL856001
Netherlands,V&D,KvK,HRB 98273,BTW,NL852657092B01
Netherlands,V&D,KvK,57611084,BTW,NL856001
Netherlands,V&D,KvK,57611084,BTW,NL852657092B01
Netherlands,OTTO,KvK,18022051,BTW,NL004677638B01
Netherlands,JustUnderwear.nl,KvK,,BTW,NL18  2290 5777 23
Netherlands,JustUnderwear.nl,KvK,,BTW,NL853111352B01
Netherlands,Underwear Online,KvK,,BTW,
Netherlands,Sloggies.be,KvK,52471217,BTW,
Netherlands,Drogist.nl,KvK,71985832,BTW,NL825756595B04
Netherlands,Wehkamp,KvK,,BTW,
Netherlands,Sarenza.nl,KvK,480 188 507,BTW,
Netherlands,The Stone,KvK,27269225,BTW,NL813702975B01
Netherlands,Roetgerink Mode & Schoenen,KvK,06052328 0000,BTW,NL006974879B01
